window,discipline,topic,topic_keywords,N,N_rel
1984-1988,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",7,0.3181818181818182
1984-1988,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",1,0.045454545454545456
1984-1988,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",1,1
1984-1988,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",7,0.3333333333333333
1984-1988,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",7,0.3333333333333333
1984-1988,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",6,0.2857142857142857
1984-1988,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",1,0.047619047619047616
1984-1988,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",12,1
1984-1988,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",5,0.4166666666666667
1984-1988,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",7,0.5833333333333334
1984-1988,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",5,1
1985-1989,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",3,1
1985-1989,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",18,0.6428571428571429
1985-1989,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",9,0.32142857142857145
1985-1989,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",1,0.03571428571428571
1985-1989,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",1,0.3333333333333333
1985-1989,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",2,0.6666666666666666
1985-1989,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",4,0.2222222222222222
1985-1989,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",8,0.4444444444444444
1985-1989,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",5,0.2777777777777778
1985-1989,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",1,0.05555555555555555
1985-1989,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",10,1
1985-1989,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,1
1985-1989,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",5,0.3333333333333333
1985-1989,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",10,0.6666666666666666
1985-1989,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",4,1
1986-1990,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",3,1
1986-1990,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",1,1
1986-1990,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",19,0.6551724137931034
1986-1990,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",9,0.3103448275862069
1986-1990,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",1,0.034482758620689655
1986-1990,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",1,0.5
1986-1990,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",1,0.5
1986-1990,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",6,0.35294117647058826
1986-1990,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",6,0.35294117647058826
1986-1990,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",5,0.29411764705882354
1986-1990,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",5,1
1986-1990,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,1
1986-1990,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",4,0.25
1986-1990,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",10,0.625
1986-1990,Political Science,5,"sanctions, sender, economic, target, coercion, senders, secondary, sanction, model, success",1,0.0625
1986-1990,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.0625
