window,discipline,topic,topic_keywords,N,N_rel
2001-2005,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",1,0.07692307692307693
2001-2005,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",23,0.7666666666666667
2001-2005,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",2,0.06666666666666667
2001-2005,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.06666666666666667
2001-2005,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",2,0.06666666666666667
2001-2005,Economics,8,"douglas, cobb, arrow, cowles, production, research, data, economics, economic, function",1,0.03333333333333333
2001-2005,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",15,0.42857142857142855
2001-2005,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",9,0.2571428571428571
2001-2005,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",9,0.2571428571428571
2001-2005,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",1,0.02857142857142857
2001-2005,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",1,0.02857142857142857
2001-2005,Geoscience,0,"evolutionary, government, carbon, game, green, enterprises, model, innovation, energy, development",1,0.5
2001-2005,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,0.5
2001-2005,Health,1,"health, game, evolutionary, treatment, service, care, medical, patients, information, elderly",1,1
2001-2005,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",1,1
2001-2005,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",26,0.7222222222222222
2001-2005,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",1,0.027777777777777776
2001-2005,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",6,0.16666666666666666
2001-2005,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",2,0.05555555555555555
2001-2005,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",1,0.027777777777777776
2001-2005,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",14,0.8235294117647058
2001-2005,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",1,0.058823529411764705
2001-2005,Mathematics,3,"reinsurance, risk, investment, optimal, variance, time, asset, consistent, insurance, insurer",1,0.058823529411764705
2001-2005,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",1,0.058823529411764705
2001-2005,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",3,1
2001-2005,Other Professional Fields,0,"shipping, game, container, capacity, ports, strategy, expansion, port, speed, sharing",1,0.25
2001-2005,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.75
2001-2005,Other Social Sciences,1,"defender, security, attacker, risk, cyber, game, allocation, defense, attacks, model",1,0.16666666666666666
2001-2005,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",4,0.6666666666666666
2001-2005,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,0.16666666666666666
2001-2005,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",4,0.26666666666666666
2001-2005,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",1,0.06666666666666667
2001-2005,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",10,0.6666666666666666
2001-2005,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",10,0.47619047619047616
2001-2005,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",4,0.19047619047619047
2001-2005,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",3,0.14285714285714285
2001-2005,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",3,0.14285714285714285
2001-2005,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.047619047619047616
2001-2005,Psychology,0,"evolutionary, government, game, theory, safety, governments, local, equilibrium, public, pattern",1,0.08333333333333333
2001-2005,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",11,0.9166666666666666
2001-2005,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",5,0.8333333333333334
2001-2005,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",1,0.16666666666666666
2002-2006,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",31,0.8857142857142857
2002-2006,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",3,0.08571428571428572
2002-2006,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",1,0.02857142857142857
2002-2006,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",8,0.47058823529411764
2002-2006,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.058823529411764705
2002-2006,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",6,0.35294117647058826
2002-2006,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",1,0.058823529411764705
2002-2006,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",1,0.058823529411764705
2002-2006,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",23,0.7931034482758621
2002-2006,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",2,0.06896551724137931
2002-2006,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",1,0.034482758620689655
2002-2006,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",1,0.034482758620689655
2002-2006,Economics,8,"douglas, cobb, arrow, cowles, production, research, data, economics, economic, function",2,0.06896551724137931
2002-2006,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",19,0.4523809523809524
2002-2006,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",11,0.2619047619047619
2002-2006,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",8,0.19047619047619047
2002-2006,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",2,0.047619047619047616
2002-2006,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.023809523809523808
2002-2006,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",1,0.023809523809523808
2002-2006,Geoscience,0,"evolutionary, government, carbon, game, green, enterprises, model, innovation, energy, development",1,0.3333333333333333
2002-2006,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,0.3333333333333333
2002-2006,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.3333333333333333
2002-2006,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",1,0.5
2002-2006,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",1,0.5
2002-2006,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",27,0.7297297297297297
2002-2006,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",1,0.02702702702702703
2002-2006,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",5,0.13513513513513514
2002-2006,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",2,0.05405405405405406
2002-2006,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.02702702702702703
2002-2006,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",1,0.02702702702702703
2002-2006,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",20,0.8695652173913043
2002-2006,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",1,0.043478260869565216
2002-2006,Mathematics,3,"reinsurance, risk, investment, optimal, variance, time, asset, consistent, insurance, insurer",1,0.043478260869565216
2002-2006,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",1,0.043478260869565216
2002-2006,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",3,1
2002-2006,Other Professional Fields,0,"shipping, game, container, capacity, ports, strategy, expansion, port, speed, sharing",1,0.25
2002-2006,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.75
2002-2006,Other Social Sciences,1,"defender, security, attacker, risk, cyber, game, allocation, defense, attacks, model",1,0.16666666666666666
2002-2006,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",4,0.6666666666666666
2002-2006,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,0.16666666666666666
2002-2006,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",9,0.47368421052631576
2002-2006,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",1,0.05263157894736842
2002-2006,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",9,0.47368421052631576
2002-2006,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",9,0.5625
2002-2006,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",1,0.0625
2002-2006,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",2,0.125
2002-2006,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",2,0.125
2002-2006,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.0625
2002-2006,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.0625
2002-2006,Psychology,0,"evolutionary, government, game, theory, safety, governments, local, equilibrium, public, pattern",1,0.08333333333333333
2002-2006,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",11,0.9166666666666666
2002-2006,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",9,0.9
2002-2006,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",1,0.1
2003-2007,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",29,0.7631578947368421
2003-2007,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",4,0.10526315789473684
2003-2007,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",3,0.07894736842105263
2003-2007,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",2,0.05263157894736842
2003-2007,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",12,0.5217391304347826
2003-2007,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",2,0.08695652173913043
2003-2007,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",6,0.2608695652173913
2003-2007,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",1,0.043478260869565216
2003-2007,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",2,0.08695652173913043
2003-2007,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",27,0.6136363636363636
2003-2007,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",9,0.20454545454545456
2003-2007,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",2,0.045454545454545456
2003-2007,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.045454545454545456
2003-2007,Economics,6,"inflation, bank, fiscal, central, monetary, targeting, policy, macroprudential, target, account",1,0.022727272727272728
2003-2007,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",1,0.022727272727272728
2003-2007,Economics,8,"douglas, cobb, arrow, cowles, production, research, data, economics, economic, function",2,0.045454545454545456
2003-2007,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",25,0.43859649122807015
2003-2007,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",14,0.24561403508771928
2003-2007,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",11,0.19298245614035087
2003-2007,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",2,0.03508771929824561
2003-2007,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",3,0.05263157894736842
2003-2007,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.017543859649122806
2003-2007,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",1,0.017543859649122806
2003-2007,Geoscience,0,"evolutionary, government, carbon, game, green, enterprises, model, innovation, energy, development",1,0.3333333333333333
2003-2007,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",1,0.3333333333333333
2003-2007,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.3333333333333333
2003-2007,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",1,0.5
2003-2007,Humanities,2,"game, theoretic, word, pragmatics, optimality, intention, principles, model, meaning, interpretation",1,0.5
2003-2007,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",22,0.5365853658536586
2003-2007,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",7,0.17073170731707318
2003-2007,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",8,0.1951219512195122
2003-2007,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.024390243902439025
2003-2007,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",3,0.07317073170731707
2003-2007,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",24,0.9230769230769231
2003-2007,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",1,0.038461538461538464
2003-2007,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",1,0.038461538461538464
2003-2007,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",1,0.25
2003-2007,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",3,0.75
2003-2007,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.25
2003-2007,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.75
2003-2007,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",4,0.8
2003-2007,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,0.2
2003-2007,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",10,0.4
2003-2007,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",4,0.16
2003-2007,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",10,0.4
2003-2007,Physics,3,"pedestrians, evacuation, traffic, pedestrian, flow, lane, model, game, room, agents",1,0.04
2003-2007,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",6,0.46153846153846156
2003-2007,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",2,0.15384615384615385
2003-2007,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",3,0.23076923076923078
2003-2007,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.07692307692307693
2003-2007,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.07692307692307693
2003-2007,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",15,1
2003-2007,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",10,0.7692307692307693
2003-2007,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",3,0.23076923076923078
2004-2008,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",29,0.725
2004-2008,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",6,0.15
2004-2008,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",3,0.075
2004-2008,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",2,0.05
2004-2008,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",13,0.48148148148148145
2004-2008,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",1,0.037037037037037035
2004-2008,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",8,0.2962962962962963
2004-2008,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",1,0.037037037037037035
2004-2008,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",4,0.14814814814814814
2004-2008,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",28,0.5957446808510638
2004-2008,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",11,0.23404255319148937
2004-2008,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",3,0.06382978723404255
2004-2008,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.0425531914893617
2004-2008,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",1,0.02127659574468085
2004-2008,Economics,8,"douglas, cobb, arrow, cowles, production, research, data, economics, economic, function",2,0.0425531914893617
2004-2008,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",48,0.5853658536585366
2004-2008,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",11,0.13414634146341464
2004-2008,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",11,0.13414634146341464
2004-2008,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",4,0.04878048780487805
2004-2008,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",4,0.04878048780487805
2004-2008,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.012195121951219513
2004-2008,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",3,0.036585365853658534
2004-2008,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",2,0.6666666666666666
2004-2008,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.3333333333333333
2004-2008,Humanities,0,"games, accessed, http, www, com, 2008, narrative, play, 2007, april",1,0.5
2004-2008,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",1,0.5
2004-2008,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",23,0.5227272727272727
2004-2008,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",11,0.25
2004-2008,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",6,0.13636363636363635
2004-2008,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.022727272727272728
2004-2008,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",3,0.06818181818181818
2004-2008,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",35,0.9210526315789473
2004-2008,Mathematics,1,"evolutionary, government, enterprises, game, innovation, model, mechanism, public, strategy, construction",1,0.02631578947368421
2004-2008,Mathematics,2,"supply, chain, manufacturer, retailer, green, price, pricing, product, fairness, decisions",1,0.02631578947368421
2004-2008,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",1,0.02631578947368421
2004-2008,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",2,0.4
2004-2008,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",3,0.6
2004-2008,Other Professional Fields,1,"game, tourism, tscs, hotels, chains, supply, competition, sectors, profits, information",1,0.125
2004-2008,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.25
2004-2008,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.125
2004-2008,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",1,0.125
2004-2008,Other Professional Fields,5,"model, product, market, content, firms, free, blockchain, behavior, service, products",3,0.375
2004-2008,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",5,0.8333333333333334
2004-2008,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",1,0.16666666666666666
2004-2008,Physics,0,"cooperation, evolutionary, game, strategy, games, dynamics, evolution, model, individuals, strategies",13,0.41935483870967744
2004-2008,Physics,1,"game, energy, network, power, nodes, sensor, wireless, networks, algorithm, proposed",8,0.25806451612903225
2004-2008,Physics,2,"quantum, game, games, theory, strategies, players, information, classical, player, learning",9,0.2903225806451613
2004-2008,Physics,3,"pedestrians, evacuation, traffic, pedestrian, flow, lane, model, game, room, agents",1,0.03225806451612903
2004-2008,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",12,0.5217391304347826
2004-2008,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",4,0.17391304347826086
2004-2008,Political Science,2,"bargaining, crisis, war, international, information, commitment, costs, audience, public, model",4,0.17391304347826086
2004-2008,Political Science,4,"pp, conflict, nepal, violence, state, rebel, government, rebels, political, groups",1,0.043478260869565216
2004-2008,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.043478260869565216
2004-2008,Political Science,8,"power, shapley, indices, point, index, owen, sovs, strong, spatial, based",1,0.043478260869565216
2004-2008,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",12,1
2004-2008,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",9,0.75
2004-2008,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",3,0.25
2005-2009,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",33,0.7333333333333333
2005-2009,Biology,2,"vaccination, disease, game, host, model, epidemic, evolutionary, dynamics, vaccine, control",7,0.15555555555555556
2005-2009,Biology,3,"management, game, based, model, nash, theory, fisheries, cooperative, energy, fishers",3,0.06666666666666667
2005-2009,Biology,4,"plant, plants, height, water, growth, root, leaf, hydraulic, soil, trees",2,0.044444444444444446
2005-2009,Computer Science,0,"game, edge, cloud, users, computing, problem, mobile, proposed, equilibrium, nash",17,0.40476190476190477
2005-2009,Computer Science,1,"game, government, energy, supply, market, evolutionary, model, strategy, chain, study",3,0.07142857142857142
2005-2009,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",16,0.38095238095238093
2005-2009,Computer Science,3,"attack, defense, game, security, model, attacks, network, strategy, based, blockchain",1,0.023809523809523808
2005-2009,Computer Science,4,"learning, game, reinforcement, control, based, games, marl, algorithm, equilibrium, multiagent",5,0.11904761904761904
2005-2009,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",33,0.5892857142857143
2005-2009,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",12,0.21428571428571427
2005-2009,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",5,0.08928571428571429
2005-2009,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",3,0.05357142857142857
2005-2009,Economics,7,"gm, household, efficiency, households, wives, husbands, allocation, agricultural, crops, income",1,0.017857142857142856
2005-2009,Economics,8,"douglas, cobb, arrow, cowles, production, research, data, economics, economic, function",2,0.03571428571428571
2005-2009,Engineering and Technology,0,"game, networks, network, users, power, proposed, problem, algorithm, based, allocation",67,0.7204301075268817
2005-2009,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",8,0.08602150537634409
2005-2009,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",6,0.06451612903225806
2005-2009,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",5,0.053763440860215055
2005-2009,Engineering and Technology,4,"game, control, vehicle, driver, driving, vehicles, traffic, lane, strategy, based",3,0.03225806451612903
2005-2009,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.010752688172043012
2005-2009,Engineering and Technology,6,"evolutionary, knowledge, design, game, project, model, theory, decision, value, projects",3,0.03225806451612903
2005-2009,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",2,0.6666666666666666
2005-2009,Geoscience,3,"game, pollution, parking, traffic, lane, air, climate, model, based, changing",1,0.3333333333333333
2005-2009,Humanities,0,"games, accessed, http, www, com, 2008, narrative, play, 2007, april",1,0.25
2005-2009,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",3,0.75
2005-2009,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",30,0.46153846153846156
2005-2009,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",16,0.24615384615384617
2005-2009,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",10,0.15384615384615385
2005-2009,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",1,0.015384615384615385
2005-2009,Management and OR,4,"carbon, energy, emission, government, emissions, low, game, green, evolutionary, environmental",1,0.015384615384615385
2005-2009,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.015384615384615385
2005-2009,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",6,0.09230769230769231
2005-2009,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",38,0.926829268292683
2005-2009,Mathematics,2,"supply, chain, manufacturer, retailer, green, price, pricing, product, fairness, decisions",1,0.024390243902439025
2005-2009,Mathematics,4,"queueing, queue, customers, traffic, server, research, patients, operations, university, equilibrium",2,0.04878048780487805
2005-2009,Medicine,1,"vaccination, control, disease, population, attack, coverage, security, vaccine, optimal, systems",1,0.16666666666666666
2005-2009,Medicine,2,"games, game, social, choice, learning, human, cooperation, cooperative, participants, behavior",3,0.5
2005-2009,Medicine,3,"game, theory, patient, knowledge, cooperation, strategy, care, medical, decision, management",2,0.3333333333333333
2005-2009,Other Professional Fields,1,"game, tourism, tscs, hotels, chains, supply, competition, sectors, profits, information",1,0.09090909090909091
2005-2009,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.18181818181818182
2005-2009,Other Professional Fields,3,"traffic, approach, game, making, problem, education, decision, toll, government, assignment",1,0.09090909090909091
2005-2009,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.18181818181818182
