window,field_1,topic,topic_keywords,N,N_rel
1983-1987,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",4,0.8
1983-1987,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.2
1984-1988,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",2,1
1984-1988,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",1,0.3333333333333333
1984-1988,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",2,0.6666666666666666
1984-1988,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",13,0.6842105263157895
1984-1988,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",5,0.2631578947368421
1984-1988,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.05263157894736842
1984-1988,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",11,0.4782608695652174
1984-1988,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",3,0.13043478260869565
1984-1988,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",2,0.08695652173913043
1984-1988,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",2,0.08695652173913043
1984-1988,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",5,0.21739130434782608
1984-1988,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",2,1
1984-1988,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1984-1988,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",2,1
1984-1988,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",5,0.8333333333333334
1984-1988,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",1,0.16666666666666666
1985-1989,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",1,1
1985-1989,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",1,0.25
1985-1989,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",1,0.25
1985-1989,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",2,0.5
1985-1989,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",16,0.7272727272727273
1985-1989,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",4,0.18181818181818182
1985-1989,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",1,0.045454545454545456
1985-1989,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.045454545454545456
1985-1989,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",14,0.56
1985-1989,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",2,0.08
1985-1989,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",3,0.12
1985-1989,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",2,0.08
1985-1989,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.16
1985-1989,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",2,1
1985-1989,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1985-1989,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",2,1
1985-1989,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",5,0.7142857142857143
1985-1989,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.14285714285714285
1985-1989,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",1,0.14285714285714285
1986-1990,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",1,1
1986-1990,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",3,0.5
1986-1990,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.3333333333333333
1986-1990,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,0.16666666666666666
1986-1990,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",1,1
1986-1990,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",10,0.625
1986-1990,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",3,0.1875
1986-1990,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",2,0.125
1986-1990,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.0625
1986-1990,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",16,0.5925925925925926
1986-1990,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",4,0.14814814814814814
1986-1990,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",2,0.07407407407407407
1986-1990,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",2,0.07407407407407407
1986-1990,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",3,0.1111111111111111
1986-1990,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",1,1
1986-1990,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1986-1990,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",2,1
1986-1990,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",5,0.5555555555555556
1986-1990,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",2,0.2222222222222222
1986-1990,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",2,0.2222222222222222
1987-1991,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",3,0.5
1987-1991,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.3333333333333333
1987-1991,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,0.16666666666666666
1987-1991,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",1,1
1987-1991,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",10,0.5555555555555556
1987-1991,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",2,0.1111111111111111
1987-1991,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",5,0.2777777777777778
1987-1991,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.05555555555555555
1987-1991,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",19,0.6129032258064516
1987-1991,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",3,0.0967741935483871
1987-1991,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",2,0.06451612903225806
1987-1991,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",3,0.0967741935483871
1987-1991,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.12903225806451613
1987-1991,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",1,1
1987-1991,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1987-1991,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",2,1
1987-1991,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",10,0.5882352941176471
1987-1991,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",1,0.058823529411764705
1987-1991,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",3,0.17647058823529413
1987-1991,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",3,0.17647058823529413
1988-1992,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",2,1
1988-1992,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",3,0.75
1988-1992,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,0.25
1988-1992,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",1,1
1988-1992,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",19,0.6785714285714286
1988-1992,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",1,0.03571428571428571
1988-1992,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",7,0.25
1988-1992,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.03571428571428571
1988-1992,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",17,0.6071428571428571
1988-1992,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",5,0.17857142857142858
1988-1992,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",2,0.07142857142857142
1988-1992,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",3,0.10714285714285714
1988-1992,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",1,0.03571428571428571
1988-1992,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",1,1
1988-1992,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",1,1
1988-1992,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",1,1
1988-1992,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",1,1
1988-1992,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",10,0.6666666666666666
1988-1992,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",1,0.06666666666666667
1988-1992,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.06666666666666667
