window,field_1,topic,topic_keywords,N,N_rel
2001-2005,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",11,1
2001-2005,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
2001-2005,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",3,0.5
2001-2005,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",2,0.3333333333333333
2001-2005,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",1,0.16666666666666666
2001-2005,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",19,0.7916666666666666
2001-2005,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",3,0.125
2001-2005,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",1,0.041666666666666664
2001-2005,"Business, Management and Accounting",8,"disclosure, audit, etr, reporting, etrs, integrated, sustainability, favourable, talk, cheap",1,0.041666666666666664
2001-2005,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",11,0.6875
2001-2005,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",5,0.3125
2001-2005,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",15,0.4838709677419355
2001-2005,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",2,0.06451612903225806
2001-2005,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",7,0.22580645161290322
2001-2005,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",3,0.0967741935483871
2001-2005,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",2,0.06451612903225806
2001-2005,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",1,0.03225806451612903
2001-2005,Decision Sciences,8,"insurance, risk, underwriting, cost, community, institutions, method, sharing, allocation, cooperative",1,0.03225806451612903
2001-2005,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",11,0.2682926829268293
2001-2005,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",9,0.21951219512195122
2001-2005,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",3,0.07317073170731707
2001-2005,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",6,0.14634146341463414
2001-2005,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",6,0.14634146341463414
2001-2005,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",3,0.07317073170731707
2001-2005,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",3,0.07317073170731707
2001-2005,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",3,0.2
2001-2005,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",8,0.5333333333333333
2001-2005,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",2,0.13333333333333333
2001-2005,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",2,0.13333333333333333
2001-2005,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",1,1
2001-2005,Mathematics,0,"cells, cancer, cell, growth, tumor, tumour, evolutionary, therapies, game, models",2,1
2001-2005,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",1,1
2001-2005,Neuroscience,0,"learning, choice, reinforcement, capacity, human, risk, underlying, humans, optimal, environment",1,1
2001-2005,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",9,1
2001-2005,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",6,1
2001-2005,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",39,0.6842105263157895
2001-2005,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",4,0.07017543859649122
2001-2005,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",5,0.08771929824561403
2001-2005,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",5,0.08771929824561403
2001-2005,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",3,0.05263157894736842
2001-2005,Social Sciences,8,"buyer, binding, seller, contracts, lock, treatment, supplier, price, good, behavioral",1,0.017543859649122806
2002-2006,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",14,1
2002-2006,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
2002-2006,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",3,0.42857142857142855
2002-2006,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",1,0.14285714285714285
2002-2006,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",2,0.2857142857142857
2002-2006,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",1,0.14285714285714285
2002-2006,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",19,0.7916666666666666
2002-2006,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",3,0.125
2002-2006,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.08333333333333333
2002-2006,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",18,0.72
2002-2006,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",5,0.2
2002-2006,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",2,0.08
2002-2006,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",17,0.53125
2002-2006,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",2,0.0625
2002-2006,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",8,0.25
2002-2006,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",3,0.09375
2002-2006,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.03125
2002-2006,Decision Sciences,8,"insurance, risk, underwriting, cost, community, institutions, method, sharing, allocation, cooperative",1,0.03125
2002-2006,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",14,0.32558139534883723
2002-2006,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",9,0.20930232558139536
2002-2006,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",5,0.11627906976744186
2002-2006,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",7,0.16279069767441862
2002-2006,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",4,0.09302325581395349
2002-2006,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",1,0.023255813953488372
2002-2006,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",3,0.06976744186046512
2002-2006,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",6,0.2857142857142857
2002-2006,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",9,0.42857142857142855
2002-2006,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",4,0.19047619047619047
2002-2006,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",2,0.09523809523809523
2002-2006,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",2,1
2002-2006,Mathematics,0,"cells, cancer, cell, growth, tumor, tumour, evolutionary, therapies, game, models",1,1
2002-2006,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",1,1
2002-2006,Neuroscience,0,"learning, choice, reinforcement, capacity, human, risk, underlying, humans, optimal, environment",1,1
2002-2006,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",7,1
2002-2006,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",5,1
2002-2006,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",49,0.7424242424242424
2002-2006,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",3,0.045454545454545456
2002-2006,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",5,0.07575757575757576
2002-2006,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",6,0.09090909090909091
2002-2006,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",2,0.030303030303030304
2002-2006,Social Sciences,8,"buyer, binding, seller, contracts, lock, treatment, supplier, price, good, behavioral",1,0.015151515151515152
2003-2007,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",16,0.9411764705882353
2003-2007,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",1,0.058823529411764705
2003-2007,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
2003-2007,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",4,0.4444444444444444
2003-2007,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",1,0.1111111111111111
2003-2007,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",2,0.2222222222222222
2003-2007,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",2,0.2222222222222222
2003-2007,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",20,0.8333333333333334
2003-2007,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",1,0.041666666666666664
2003-2007,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",3,0.125
2003-2007,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",25,0.6944444444444444
2003-2007,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",5,0.1388888888888889
2003-2007,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",3,0.08333333333333333
2003-2007,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",3,0.08333333333333333
2003-2007,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",15,0.39473684210526316
2003-2007,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",5,0.13157894736842105
2003-2007,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",8,0.21052631578947367
2003-2007,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",7,0.18421052631578946
2003-2007,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",1,0.02631578947368421
2003-2007,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",1,0.02631578947368421
2003-2007,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",1,0.02631578947368421
2003-2007,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",20,0.40816326530612246
2003-2007,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",9,0.1836734693877551
2003-2007,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",5,0.10204081632653061
2003-2007,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",5,0.10204081632653061
2003-2007,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",4,0.08163265306122448
2003-2007,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",2,0.04081632653061224
2003-2007,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",4,0.08163265306122448
2003-2007,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",10,0.3333333333333333
2003-2007,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",13,0.43333333333333335
2003-2007,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",5,0.16666666666666666
2003-2007,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",1,0.03333333333333333
2003-2007,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",1,0.03333333333333333
2003-2007,Environmental Science,1,"government, game, evolutionary, energy, carbon, model, enterprises, strategies, development, study",1,0.25
2003-2007,Environmental Science,2,"fisheries, management, stocks, stock, fishing, fish, fishery, sex, economic, msy",1,0.25
2003-2007,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",2,0.5
2003-2007,Mathematics,0,"cells, cancer, cell, growth, tumor, tumour, evolutionary, therapies, game, models",1,1
2003-2007,Medicine,1,"game, games, equilibrium, distributed, nash, seeking, stability, based, information, time",1,0.5
2003-2007,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",1,0.5
2003-2007,Neuroscience,1,"game, social, subjects, opponent, strategy, activity, sensitivity, competitive, asp, hierarchy",1,1
2003-2007,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",7,1
2003-2007,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",6,0.8571428571428571
2003-2007,Psychology,1,"game, aggression, cooperative, video, play, bpd, games, bd, social, clinical",1,0.14285714285714285
2003-2007,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",52,0.7536231884057971
2003-2007,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",4,0.057971014492753624
2003-2007,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",7,0.10144927536231885
2003-2007,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",2,0.028985507246376812
2003-2007,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",2,0.028985507246376812
2003-2007,Social Sciences,6,"households, household, family, women, wives, teachers, preferences, efficiency, husbands, sided",1,0.014492753623188406
2003-2007,Social Sciences,8,"buyer, binding, seller, contracts, lock, treatment, supplier, price, good, behavioral",1,0.014492753623188406
2004-2008,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",13,0.9285714285714286
2004-2008,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",1,0.07142857142857142
2004-2008,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
2004-2008,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",3,0.3333333333333333
2004-2008,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",2,0.2222222222222222
2004-2008,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",2,0.2222222222222222
2004-2008,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",2,0.2222222222222222
2004-2008,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",22,0.7586206896551724
2004-2008,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",3,0.10344827586206896
2004-2008,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",2,0.06896551724137931
2004-2008,"Business, Management and Accounting",4,"customers, server, queue, queueing, equilibrium, service, mml, servers, joining, patients",1,0.034482758620689655
2004-2008,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,0.034482758620689655
2004-2008,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",41,0.7192982456140351
2004-2008,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",7,0.12280701754385964
2004-2008,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",6,0.10526315789473684
2004-2008,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",3,0.05263157894736842
2004-2008,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",20,0.4
2004-2008,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",7,0.14
2004-2008,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",10,0.2
2004-2008,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",9,0.18
2004-2008,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",2,0.04
2004-2008,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",1,0.02
2004-2008,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",1,0.02
2004-2008,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",19,0.4222222222222222
2004-2008,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",8,0.17777777777777778
2004-2008,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",4,0.08888888888888889
2004-2008,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",4,0.08888888888888889
2004-2008,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",3,0.06666666666666667
2004-2008,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.08888888888888889
2004-2008,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",3,0.06666666666666667
2004-2008,Energy,1,"energy, carbon, supply, low, fuel, chain, game, pricing, efficiency, consumers",1,1
2004-2008,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",15,0.375
2004-2008,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",12,0.3
2004-2008,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",7,0.175
2004-2008,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",1,0.025
2004-2008,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",2,0.05
2004-2008,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",2,0.05
2004-2008,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",1,0.025
2004-2008,Environmental Science,1,"government, game, evolutionary, energy, carbon, model, enterprises, strategies, development, study",1,0.2
2004-2008,Environmental Science,2,"fisheries, management, stocks, stock, fishing, fish, fishery, sex, economic, msy",1,0.2
2004-2008,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",2,0.4
2004-2008,Environmental Science,4,"conservation, forest, harvesting, organizations, institutional, game, environmental, social, common, theory",1,0.2
2004-2008,Mathematics,1,"game, vaccination, model, epidemic, strategy, public, disease, individuals, control, games",4,1
2004-2008,Medicine,1,"game, games, equilibrium, distributed, nash, seeking, stability, based, information, time",1,0.5
2004-2008,Medicine,2,"game, model, medical, theory, evolutionary, vaccination, treatment, strategies, epidemic, disease",1,0.5
2004-2008,Neuroscience,1,"game, social, subjects, opponent, strategy, activity, sensitivity, competitive, asp, hierarchy",2,1
2004-2008,Physics and Astronomy,0,"quantum, game, games, classical, theory, player, entanglement, players, nash, strategies",7,0.6363636363636364
2004-2008,Physics and Astronomy,3,"defense, network, security, game, attack, strategy, scheffran, attacker, learning, model",2,0.18181818181818182
2004-2008,Physics and Astronomy,6,"social, dynamics, opinion, agents, xlink, xmlns, w3, http, org, www",2,0.18181818181818182
2004-2008,Psychology,0,"choice, mate, care, mating, male, theory, evolutionary, studies, human, males",3,0.5
2004-2008,Psychology,1,"game, aggression, cooperative, video, play, bpd, games, bd, social, clinical",1,0.16666666666666666
2004-2008,Psychology,3,"game, learning, learners, poker, playfulness, water, design, classroom, stripped, computer",2,0.3333333333333333
2004-2008,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",54,0.6666666666666666
2004-2008,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",3,0.037037037037037035
2004-2008,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",13,0.16049382716049382
2004-2008,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",6,0.07407407407407407
2004-2008,Social Sciences,4,"vaccination, vaccine, health, game, disease, mhealth, physicians, coverage, information, healthcare",2,0.024691358024691357
2004-2008,Social Sciences,6,"households, household, family, women, wives, teachers, preferences, efficiency, husbands, sided",2,0.024691358024691357
2004-2008,Social Sciences,8,"buyer, binding, seller, contracts, lock, treatment, supplier, price, good, behavioral",1,0.012345679012345678
2005-2009,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",15,0.9375
2005-2009,Agricultural and Biological Sciences,1,"government, game, food, agricultural, farmers, evolutionary, chain, safety, green, traceability",1,0.0625
2005-2009,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,0.5
2005-2009,Arts and Humanities,2,"games, discrete, optimal, point, solution, utility, fixed, egalitarian, theorems, game",1,0.5
2005-2009,"Biochemistry, Genetics and Molecular Biology",2,"host, virulence, pathogen, model, vaccine, disease, transmission, infection, evolution, infected",2,0.25
2005-2009,"Biochemistry, Genetics and Molecular Biology",3,"species, game, reversal, microbial, memory, communities, molecular, genes, number, theory",2,0.25
2005-2009,"Biochemistry, Genetics and Molecular Biology",4,"species, migration, population, prey, evolutionary, thermal, ifd, patch, game, predators",1,0.125
2005-2009,"Biochemistry, Genetics and Molecular Biology",6,"game, evolutionary, theory, selection, sex, strategies, fitness, evolution, mml, models",3,0.375
2005-2009,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",31,0.7045454545454546
2005-2009,"Business, Management and Accounting",2,"ppp, public, private, projects, project, government, game, design, evolutionary, supervision",3,0.06818181818181818
2005-2009,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",7,0.1590909090909091
2005-2009,"Business, Management and Accounting",4,"customers, server, queue, queueing, equilibrium, service, mml, servers, joining, patients",2,0.045454545454545456
2005-2009,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,0.022727272727272728
2005-2009,Computer Science,0,"game, users, network, proposed, networks, based, algorithm, power, equilibrium, problem",58,0.7341772151898734
2005-2009,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",9,0.11392405063291139
2005-2009,Computer Science,2,"security, game, defense, model, attack, attacks, based, information, strategy, privacy",7,0.08860759493670886
2005-2009,Computer Science,4,"optimization, particle, swarm, method, objective, design, search, path, game, proposed",1,0.012658227848101266
2005-2009,Computer Science,5,"lt, fuzzy, gt, linguistic, preference, game, word, logic, product, argumentation",4,0.05063291139240506
2005-2009,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",26,0.4126984126984127
2005-2009,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",8,0.12698412698412698
2005-2009,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",14,0.2222222222222222
2005-2009,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",10,0.15873015873015872
2005-2009,Decision Sciences,4,"fuzzy, decision, dea, cooperative, value, game, linguistic, making, shapley, proposed",3,0.047619047619047616
2005-2009,Decision Sciences,5,"carbon, evolutionary, enterprises, government, game, energy, electricity, market, power, reduction",1,0.015873015873015872
2005-2009,Decision Sciences,6,"innovation, technology, collaborative, diffusion, evolutionary, adoption, government, competitive, game, firms",1,0.015873015873015872
2005-2009,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",22,0.46808510638297873
2005-2009,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",5,0.10638297872340426
2005-2009,"Economics, Econometrics and Finance",2,"carbon, government, enterprises, environmental, pollution, game, innovation, evolutionary, emission, local",4,0.0851063829787234
2005-2009,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",5,0.10638297872340426
2005-2009,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",4,0.0851063829787234
2005-2009,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.0851063829787234
2005-2009,"Economics, Econometrics and Finance",7,"options, strategic, real, value, framework, high, capacity, theory, infrastructure, design",3,0.06382978723404255
2005-2009,Engineering,0,"game, power, networks, network, allocation, interference, proposed, problem, based, algorithm",25,0.5319148936170213
2005-2009,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",9,0.19148936170212766
2005-2009,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",6,0.1276595744680851
2005-2009,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",3,0.06382978723404255
2005-2009,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",2,0.0425531914893617
2005-2009,Engineering,6,"port, shipping, manufacturing, game, container, production, ports, model, scheduling, decision",1,0.02127659574468085
2005-2009,Engineering,7,"emergency, evacuation, pedestrians, game, government, model, evolutionary, crowd, exit, pedestrian",1,0.02127659574468085
2005-2009,Environmental Science,1,"government, game, evolutionary, energy, carbon, model, enterprises, strategies, development, study",1,0.16666666666666666
2005-2009,Environmental Science,2,"fisheries, management, stocks, stock, fishing, fish, fishery, sex, economic, msy",1,0.16666666666666666
